Date,Open,High,Low,Close,Adj Close,Volume
2015-08-13,116.040001,116.400002,114.540001,111.22039,115.150002,48535800
2015-08-14,114.32,116.309998,114.010002,112.00273899999999,115.959999,42929500
2015-08-17,116.040001,117.650002,115.5,113.161804,117.160004,40884700
2015-08-18,116.43,117.440002,116.010002,112.52430700000001,116.5,34560700
2015-08-19,116.099998,116.519997,114.68,111.085167,115.010002,47445700
2015-08-20,114.08000200000001,114.349998,111.629997,108.805702,112.650002,68501600
2015-08-21,110.43,111.900002,105.650002,102.15083299999999,105.760002,128275500
2015-08-24,94.870003,108.800003,92.0,99.600937,103.120003,162206300
2015-08-25,111.110001,111.110001,103.5,100.19976,103.739998,103601600
2015-08-26,107.089996,109.889999,105.050003,105.946716,109.690002,96774600
2015-08-27,112.230003,113.239998,110.019997,109.06648999999999,112.91999799999999,84616100
2015-08-28,112.16999799999999,113.309998,111.540001,109.42385900000001,113.290001,53164400
2015-08-31,112.029999,114.529999,112.0,108.91194899999999,112.760002,56229300
2015-09-01,110.150002,111.879997,107.360001,104.043945,107.720001,76845900
2015-09-02,110.230003,112.339996,109.129997,108.506271,112.339996,61888800
2015-09-03,112.489998,112.779999,110.040001,106.603508,110.370003,53233900
2015-09-04,108.970001,110.449997,108.510002,105.541046,109.269997,49996300
2015-09-08,111.75,112.559998,110.32,108.477303,112.309998,54843600
2015-09-09,113.760002,114.019997,109.769997,106.39101399999998,110.150002,85010800
2015-09-10,110.269997,113.279999,109.900002,108.728416,112.57,62892800
2015-09-11,111.790001,114.209999,111.760002,110.31246200000001,114.209999,49915500
2015-09-14,116.58000200000001,116.889999,114.860001,111.37491599999998,115.309998,58363400
2015-09-15,115.93,116.529999,114.41999799999999,112.311821,116.279999,43341200
2015-09-16,116.25,116.540001,115.440002,112.437393,116.410004,37173500
2015-09-17,115.660004,116.489998,113.720001,110.03235600000001,113.91999799999999,64112600
2015-09-18,112.209999,114.300003,111.870003,109.5784,113.449997,74285300
2015-09-21,113.66999799999999,115.370003,113.660004,111.27833600000001,115.209999,50222000
2015-09-22,113.379997,114.18,112.519997,109.530098,113.400002,50346200
2015-09-23,113.629997,114.720001,113.300003,110.41871599999999,114.32,35756700
